SITC;PRODUCT DESCRIPTION;YEAR;IMPORT (RM);;
69912;ARMOURED OR REINFORCED SAFES, STRONGBOXES AND DOORS AND SAFE DEPOSIT LOCKERS FOR STRONGROOMS, CASH AND DEED BOXES AND THE LIKE, OF BASE METAL;2020;9608377;;
69913;HINGES;2020;86044802;;
69914;CASTORS;2020;51119357;;
69915;OTHER MOUNTINGS, FITTINGS AND SIMILAR ARTICLES SUITABLE FOR MOTOR VEHICLES;2020;72968121;;
69916;OTHER MOUNTINGS, FITTINGS AND SIMILAR ARTICLES SUITABLE FOR BUILDINGS;2020;48641901;;
69917;OTHER MOUNTINGS, FITTINGS AND SIMILAR ARTICLES SUITABLE FOR FURNITURE;2020;192309632;;
69919;"OTHER MOUNTINGS, FITTINGS AND SIMILAR ARTICLES; BASE METAL HAT-RACKS, HAT-PEGS, BRACKETS AND SIMILAR";2020;202861339;;
69921;SKID CHAIN;2020;249263;;
69922;OTHER CHAIN;2020;59111237;;
69931;SEWING NEEDLES, KNITTING-NEEDLES, BODKINS, CROCHET HOOKS, EMBROIDERY STILETTOS AND SIMILAR ARTICLES, FOR USE IN THE HAND, OF IRON OR STEEL;2020;60996687;;
69932;SAFETY PINS AND OTHER PINS, OF IRON OR STEEL, N.E.S.;2020;40940067;;
69933;CLASPS, FRAMES WITH CLASPS, BUCKLES, BUCKLE CLASPS, HOOKS, EYES, EYELETS AND THE LIKE, OF BASE METAL;2020;47785191;;
69940;SPRINGS AND LEAVES FOR SPRINGS, OF IRON, STEEL OR COPPER;2020;58756968;;
69941;SPRINGS AND LEAVES FOR SPRINGS, OF IRON OR STEEL;2020;305722474;;
69951;FLEXIBLE TUBING OF BASE METAL, WITH OR WITHOUT FITTINGS;2020;37088692;;
69952;BELLS, GONGS AND THE LIKE, NON-ELECTRIC, AND PARTS THEREOF, OF BASE METAL;2020;1732973;;
69953;STOPPERS, CAPS AND LIDS (INCLUDING CROWN CORKS, SCREW CAPS AND POURING STOPPERS), CAPSULES FOR BOTTLES, THREADED BUNGS, BUNG COVERS, SEALS AND OTHER PACKING ACCESSORIES, OF BASE METAL;2020;184846428;;
69954;SIGN-PLATES, NAME-PLATES, ADDRESS-PLATES AND SIMILAR PLATES, NUMBERS, LETTERS AND OTHER SYMBOLS, OF BASE METAL (EXCLUDING THOSE OF HEADING 813.2);2020;24454844;;
69955;"WIRE, RODS, TUBES, PLATES, ELECTRODES AND SIMILAR PRODUCTS, OF BASE METAL OR OF METAL CARBIDES, COATED OR CORED WITH FLUX MATERIAL, OF A KIND USED FOR SOLDERING, BRAZING, WELDING OR DEPOSITION OF METAL OR OF METAL CARBIDES; WIRE AND RODS, OF AGGLOMERATED";2020;186288308;;
69961;ANCHORS, GRAPNELS, AND PARTS THEREOF, OF IRON OR STEEL;2020;14706494;;
69962;CAST ARTICLES OF NON-MALLEABLE CAST IRON, N.E.S.;2020;45866623;;
69963;CAST ARTICLES OF OTHER IRON OR STEEL, N.E.S.;2020;63729722;;
69965;ARTICLES OF IRON OR STEEL, FORGED OR STAMPED, BUT NOT FURTHER WORKED, N.E.S.;2020;704718765;;
69967;ARTICLES OF IRON OR STEEL WIRE, N.E.S.;2020;130265671;;
69969;ARTICLES OF IRON OR STEEL, N.E.S.;2020;1720957001;;
69971;CHAIN OF COPPER, AND PARTS THEREOF;2020;2610156;;
69973;ARTICLES OF COPPER, N.E.S.;2020;337863357;;
69975;ARTICLES OF NICKEL, N.E.S.;2020;49846020;;
69976;ARTICLES OF LEAD, N.E.S.;2020;13645931;;
69977;ARTICLES OF ZINC, N.E.S.;2020;17615589;;
69978;ARTICLES OF TIN, N.E.S.;2020;49511771;;
69979;ARTICLES OF ALUMINIUM, N.E.S.;2020;1237795102;;
69981;COBALT, WROUGHT, AND ARTICLES OF COBALT, N.E.S.;2020;8016635;;
69983;CADMIUM, WROUGHT, AND ARTICLES OF CADMIUM, N.E.S.;2020;13264;;
69985;TITANIUM, WROUGHT, AND ARTICLES OF TITANIUM, N.E.S.;2020;150170285;;
69987;ZIRCONIUM, WROUGHT, AND ARTICLES OF ZIRCONIUM, N.E.S.;2020;1969342;;
69991;TUNGSTEN, WROUGHT, AND ARTICLES OF TUNGSTEN, N.E.S.;2020;27171171;;
69992;MOLYBDENUM, WROUGHT, AND ARTICLES OF MOLYBDENUM, N.E.S.;2020;4408040;;
69993;TANTALUM, WROUGHT, AND ARTICLES OF TANTALUM, N.E.S.;2020;1120367;;
69994;MAGNESIUM, WROUGHT, AND ARTICLES OF MAGNESIUM, N.E.S.;2020;3184625;;
69995;BERYLLIUM, WROUGHT, AND ARTICLES OF BERYLLIUM, N.E.S.;2020;2675473;;
69999;BASE METALS, WROUGHT, N.E.S., AND ARTICLES OF THESE METALS, N.E.S.;2020;88421772;;
71111;STEAM OR OTHER VAPOUR-GENERATING BOILERS;2020;40386366;;
71112;SUPERHEATED WATER BOILERS;2020;1040443;;
71121;AUXILIARY PLANT FOR USE WITH BOILERS OF SUBGROUP 711.1 OR 812.1;2020;31968129;;
71122;CONDENSERS FOR STEAM OR OTHER VAPOUR POWER UNITS;2020;3703456;;
71191;PARTS FOR THE BOILERS OF SUBGROUP 711.1;2020;75133759;;
71192;PARTS FOR THE APPARATUS AND APPLIANCES OF SUBGROUP 711.2;2020;18157573;;
71211;MACHINERY AND TRANSPORT EQUIPMENT POWER-GENERATING MACHINERY AND EQUIPMENT STEAM TURBINES AND OTHER VAPOUR TURBINES AND PARTS THEREOF, N.E.S. STEAM TURBINES AND OTHER VAPOUR TURBINES FOR MARINE PROPULSION;2020;41946651;;
71219;MACHINERY AND TRANSPORT EQUIPMENT POWER-GENERATING MACHINERY AND EQUIPMENT STEAM TURBINES AND OTHER VAPOUR TURBINES AND PARTS THEREOF, N.E.S. STEAM TURBINES AND OTHER VAPOUR TURBINES OTHER;2020;62872404;;
71280;PARTS FOR THE TURBINES OF SUBGROUP 712.1;2020;89450059;;
71311;SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON ENGINES FOR AIRCRAFT;2020;15622995;;
71319;PARTS, N.E.S., OF THE AIRCRAFT ENGINES OF HEADING 713.11;2020;3500887;;
71321;RECIPROCATING PISTON ENGINES OF A CYLINDER CAPACITY NOT EXCEEDING 1,000 CC;2020;194337428;;
71322;RECIPROCATING PISTON ENGINES OF A CYLINDER CAPACITY EXCEEDING 1,000 CC;2020;254042670;;
71323;COMPRESSION-IGNITION ENGINES (DIESEL OR SEMI-DIESEL ENGINES);2020;309318252;;
71331;OUTBOARD MOTORS;2020;103570124;;
71332;OTHER SPARK-IGNITION RECIPROCATING OR ROTARY ENGINES;2020;9066065;;
71333;COMPRESSION-IGNITION ENGINES (DIESEL OR SEMI-DIESEL ENGINES);2020;169274252;;
71381;OTHER SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON ENGINES;2020;48188467;;
71382;OTHER COMPRESSION-IGNITION INTERNAL COMBUSTION ENGINES (DIESEL OR SEMI-DIESEL);2020;166815087;;
71391;MACHINERY AND TRANSPORT EQUIPMENT POWER-GENERATING MACHINERY AND EQUIPMENT INTERNAL COMBUSTION PISTON ENGINES AND PARTS THEREOF, N.E.S. PARTS, N.E.S, FOR THE INTERNAL COMBUSTION PISTON ENGINES OF SUBGROUPS 713.2, 713.3 AND 713.8 SUITABLE FOR USE SOLELY OR;2020;636101963;;
71392;MACHINERY AND TRANSPORT EQUIPMENT POWER-GENERATING MACHINERY AND EQUIPMENT INTERNAL COMBUSTION PISTON ENGINES AND PARTS THEREOF, N.E.S. PARTS, N.E.S, FOR THE INTERNAL COMBUSTION PISTON ENGINES OF SUBGROUPS 713.2, 713.3 AND 713.8 SUITABLE FOR USE SOLELY OR;2020;572844800;;
71441;TURBOJETS;2020;4028724;;
71449;OTHER THAN TURBOJETS;2020;2925135;;
71481;TURBOPROPELLERS;2020;15809991;;
71489;OTHER GAS TURBINES;2020;796159787;;
71491;PARTS FOR TURBOJETS OR TURBOPROPELLERS;2020;1523100014;;
71499;PARTS FOR THE GAS TURBINES OF HEADING 714.89;2020;1026789053;;
71610;ELECTRIC MOTORS OF AN OUTPUT NOT EXCEEDING 37.5 W;2020;909434537;;
71620;MOTORS (OTHER THAN MOTORS OF AN OUTPUT NOT EXCEEDING 37.5 W) AND GENERATORS, DIRECT CURRENT;2020;1062702289;;
71631;AC MOTORS (INCLUDING UNIVERSAL (AC/DC) MOTORS, BUT EXCLUDING MOTORS OF AN OUTPUT NOT EXCEEDING 37.5;2020;1797264758;;
71632;GENERATORS, ALTERNATING CURRENT;2020;100679472;;
71640;ELECTRIC ROTARY CONVERTERS;2020;27139405;;
71651;ELECTRIC GENERATING SETS WITH COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINES (DIESEL OR SEMI-DIESEL ENGINES);2020;235799583;;
71652;OTHER GENERATING SETS;2020;130452863;;
71690;PARTS, N.E.S., SUITABLE FOR USE SOLELY OR PRINCIPALLY WITH THE MACHINES FALLING WITHIN GROUP 716;2020;246803898;;
71811;HYDRAULIC TURBINES AND WATER-WHEELS;2020;28663172;;
71819;PARTS, INCLUDING REGULATORS, OF HYDRAULIC TURBINES AND WATER-WHEELS;2020;10677459;;
71871;NUCLEAR REACTORS;2020;9460;;
71877;FUEL ELEMENTS (CARTRIDGES), NON-IRRADIATED;2020;254270;;
71878;PARTS OF NUCLEAR REACTORS;2020;12129;;
71891;LINEAR-ACTING HYDRAULIC POWER ENGINES AND MOTORS (CYLINDERS);2020;81903677;;
71892;LINEAR-ACTING PNEUMATIC POWER ENGINES AND MOTORS (CYLINDERS);2020;65246303;;
71893;OTHER ENGINES AND MOTORS;2020;112869581;;
71899;PARTS OF THE ENGINES AND MOTORS OF HEADINGS 714.49, 718.91, 718.92 AND 718.93;2020;68481888;;
72111;PLOUGHS;2020;828217;;
72112;"SEEDERS, PLANTERS, TRANSPLANTERS; FERTILIZER DISTRIBUTORS AND MANURE SPREADERS (OTHER THAN HAND TOOLS)";2020;8320469;;
72113;SCARIFIERS, CULTIVATORS, WEEDERS, HOES AND HARROWS (OTHER THAN HAND TOOLS);2020;10212051;;
72118;"OTHER AGRICULTURAL AND HORTICULTURAL OR FORESTRY MACHINERY FOR SOIL PREPARATION OR CULTIVATION; LAWN";2020;8567771;;
72119;PARTS OF THE MACHINERY OF SUBGROUP 721.1;2020;21256711;;
72121;MOWERS FOR LAWNS, PARKS OR SPORTS GROUNDS;2020;8806968;;
72122;COMBINE HARVESTER-THRESHERS;2020;14818747;;
72123;"OTHER HARVESTING AND THRESHING MACHINERY; MOWERS (OTHER THAN THOSE OF HEADING 721.21)";2020;5370117;;
72126;MACHINES FOR CLEANING, SORTING OR GRADING EGGS, FRUIT OR OTHER AGRICULTURAL PRODUCE;2020;10074346;;
72127;MACHINES FOR CLEANING, SORTING OR GRADING SEED, GRAIN OR DRIED LEGUMINOUS VEGETABLES (OTHER THAN MILLING MACHINERY OF HEADING 727.11);2020;8160677;;
72129;PARTS OF THE MACHINES OF HEADINGS 721.21 THROUGH 721.26;2020;12051097;;
72131;MILKING MACHINES;2020;1587270;;
72138;DAIRY MACHINERY;2020;64757969;;
72139;PARTS FOR MILKING MACHINES AND DAIRY MACHINERY;2020;23783965;;
72191;PRESSES, CRUSHERS AND SIMILAR MACHINERY USED IN THE MANUFACTURE OF WINE, CIDER, FRUIT JUICES OR SIMILAR BEVERAGES;2020;3322458;;
72195;"POULTRY-KEEPING MACHINERY; POULTRY INCUBATORS AND BROODERS";2020;165510564;;
72196;OTHER AGRICULTURAL, HORTICULTURAL, FORESTRY OR BEE-KEEPING MACHINERY (INCLUDING GERMINATION PLANT FITTED WITH MECHANICAL OR THERMAL EQUIPMENT);2020;35216718;;
72198;PARTS OF THE MACHINERY OF HEADING 721.91;2020;1601628;;
72199;PARTS OF THE MACHINERY AND APPLIANCES OF HEADINGS 721.95 AND 721.96;2020;35115490;;
72230;TRACK-LAYING TRACTORS;2020;146867;;
72241;PEDESTRIAN-CONTROLLED TRACTORS;2020;36030135;;
72249;OTHER WHEELED TRACTORS;2020;124836526;;
72311;BULLDOZERS AND ANGLEDOZERS;2020;18846524;;
72312;GRADERS AND LEVELLERS;2020;6218454;;
72321;FRONT-END SHOVEL-LOADERS;2020;71859650;;
72322;MECHANICAL SHOVELS, EXCAVATORS AND SHOVEL-LOADERS WITH A 360 DEGREE REVOLVING SUPERSTRUCTURE;2020;464658533;;
72329;OTHER SELF-PROPELLED MECHANICAL SHOVELS, EXCAVATORS AND SHOVEL-LOADERS;2020;65411941;;
72331;SCRAPERS;2020;110161;;
72333;TAMPING MACHINES AND ROADROLLERS;2020;30735506;;
72335;COAL OR ROCK CUTTERS AND TUNNELLING MACHINERY;2020;3498202;;
72337;OTHER BORING OR SINKING MACHINERY;2020;63317708;;
72339;OTHER MOVING, GRADING, LEVELLING, SCRAPING, EXCAVATING, COMPACTING OR EXTRACTING MACHINERY, FOR EARTH, MINERALS OR ORES, SELF-PROPELLED;2020;11026461;;
72341;PILE-DRIVERS AND PILE-EXTRACTORS;2020;16224886;;
72342;SNOWPLOUGHS AND SNOWBLOWERS;2020;118630;;
72343;COAL OR ROCK CUTTERS AND TUNNELLING MACHINERY, NOT SELF-PROPELLED;2020;9404538;;
72344;OTHER BORING OR SINKING MACHINERY, NOT SELF-PROPELLED;2020;62088987;;
72345;TAMPING OR COMPACTING MACHINERY, NOT SELF-PROPELLED;2020;9767242;;
72347;OTHER CONSTRUCTION AND MINING MACHINERY, NOT SELF-PROPELLED;2020;49915552;;
72348;MACHINERY FOR PUBLIC WORKS, BUILDING OR THE LIKE, N.E.S.;2020;85452688;;
72391;BUCKETS, SHOVELS, GRABS AND GRIPS;2020;29821057;;
72392;BULLDOZER OR ANGLEDOZER BLADES;2020;307669;;
72393;PARTS FOR BORING OR SINKING MACHINERY OF HEADING 723.37 OR 723.44;2020;1084568210;;
72399;OTHER PARTS FOR THE MACHINERY OF GROUP 723 (EXCLUDING HEADING 723.48) AND OF SUBGROUP 744.3;2020;448899175;;
72433;SEWING-MACHINES OF THE HOUSEHOLD TYPE;2020;17854023;;
72435;OTHER SEWING-MACHINES;2020;144015193;;
72439;"SEWING-MACHINE NEEDLES; FURNITURE, BASES AND COVERS SPECIALLY DESIGNED FOR SEWING-MACHINES; PARTS OF THE MACHINES AND FURNITURE OF SUBGROUP 724.3";2020;60181970;;
72441;MACHINES FOR EXTRUDING, DRAWING, TEXTURING OR CUTTING MAN-MADE TEXTILE MATERIALS;2020;14466850;;
72442;MACHINES FOR PREPARING TEXTILE FIBRES;2020;14489639;;
72443;"TEXTILE-SPINNING, DOUBLING OR TWISTING MACHINES; TEXTILE-WINDING (INCLUDING WEFT-WINDING) OR REELING";2020;27796029;;
72449;PARTS AND ACCESSORIES OF MACHINES OF SUBGROUP 724.4 OR HEADING 724.54 OR OF THEIR AUXILIARY MACHINERY;2020;136265737;;
72451;WEAVING MACHINES (LOOMS);2020;136624879;;
72452;KNITTING-MACHINES AND STITCH-BONDING MACHINES;2020;5902924;;
72453;MACHINES FOR MAKING GIMPED YARN, TULLE, LACE, EMBROIDERY, TRIMMINGS, BRAID OR NET AND MACHINES FOR TUFTING;2020;13992429;;
72454;MACHINES FOR PREPARING TEXTILE YARNS FOR USE ON THE MACHINES OF HEADINGS 724.51 THROUGH 724.53;2020;2051708;;
72455;"MACHINERY FOR THE MANUFACTURE OR FINISHING OF FELT OR NON-WOVENS IN THE PIECE OR INSHAPES, INCLUDING MACHINERY FOR MAKING FELT HATS; BLOCKS FOR MAKING HATS.";2020;53025309;;
72461;AUXILIARY MACHINERY FOR MACHINES OF HEADINGS 724.41, 724.42, 724.43, 724.51, 724.52 AND 724.53;2020;5546597;;
72467;PARTS AND ACCESSORIES OF WEAVING MACHINES (LOOMS) OF HEADING 724.51 OR OF THEIR AUXILIARY MACHINERY;2020;15562569;;
72468;PARTS AND ACCESSORIES OF MACHINES OF HEADINGS 724.52 AND 724.53 OR OF THEIR AUXILIARY MACHINERY;2020;44230360;;
72471;HOUSEHOLD OR LAUNDRY-TYPE WASHING-MACHINES (INCLUDING MACHINES WHICH BOTH WASH AND DRY), EACH OF A DRY LINEN CAPACITY EXCEEDING 10 KG.;2020;160603445;;
72472;DRY-CLEANING MACHINES;2020;5597668;;
72473;DRYING MACHINES, EACH OF DRY LINEN CAPACITY EXCEEDING 10 KG (EXCLUDING THOSE OF SUBGROUPS 741.8 AND;2020;31095202;;
72474;MACHINERY FOR WASHING (OTHER THAN HOUSEHOLD OR LAUNDRY-TYPE MACHINES), CLEANING (OTHER THAN DRY-CLEANING MACHINES), WRINGING, PRESSING (INCLUDING FUSING PRESSES), BLEACHING, DYEING, DRESSING, FINISHING (OTHER THAN MACHINES FOR THE FINISHING OF FELT), COAT;2020;77863666;;
72481;MACHINERY FOR PREPARING, TANNING OR WORKING HIDES, SKINS OR LEATHER;2020;1588836;;
72483;MACHINERY FOR MAKING OR REPAIRING FOOTWEAR;2020;23396934;;
72485;MACHINERY FOR MAKING OR REPAIRING ARTICLES OF HIDES, SKINS OR LEATHER, OTHER THAN FOOTWEAR;2020;4058872;;
72488;PARTS FOR THE MACHINERY OF SUBGROUP 724.8;2020;3391320;;
72491;MACHINERY AND TRANSPORT EQUIPMENT MACHINERY SPECIALIZED FOR PARTICULAR INDUSTRIES TEXTILE AND LEATHER MACHINERY AND PARTS THEREOF, N.E.S. PARTS FOR THE MACHINES OF SUBGROUPS 724.7 AND 775.1 FOR THE HOUSEHOLD OR LAUNDRY-TYPE WASHING-MACHINES OF HEADINGS 72;2020;11777415;;
72492;MACHINERY AND TRANSPORT EQUIPMENT MACHINERY SPECIALIZED FOR PARTICULAR INDUSTRIES TEXTILE AND LEATHER MACHINERY AND PARTS THEREOF, N.E.S. PARTS FOR THE MACHINES OF SUBGROUPS 724.7 AND 775.1 FOR THE MACHINES OF HEADINGS 724.72, 724.73, 724.74 AND 775.12;2020;18753965;;
72511;MACHINERY FOR MAKING PULP OF FIBROUS CELLULOSIC MATERIAL;2020;54683099;;
72512;MACHINERY FOR MAKING OR FINISHING PAPER OR PAPERBOARD;2020;149388149;;
72521;CUTTING MACHINES;2020;44097259;;
72523;MACHINES FOR MAKING BAGS, SACKS OR ENVELOPES;2020;35034510;;
72525;MACHINES FOR MAKING CARTONS, BOXES, CASES, TUBES, DRUMS OR SIMILAR CONTAINERS, OTHER THAN BY MOULDING.;2020;81653938;;
72527;MACHINES FOR MOULDING ARTICLES IN PAPER PULP, PAPER OR PAPERBOARD;2020;52861912;;
72529;OTHER MACHINERY;2020;36060334;;
72591;PARTS OF THE MACHINES OF SUBGROUP 725.1;2020;722980460;;
72599;PARTS OF THE MACHINES OF SUBGROUP 725.2;2020;38713171;;
72631;MACHINERY, APPARATUS AND EQUIPMENT (OTHER THAN THE MACHINE TOOLS OF SUBGROUP 728.1 OR GROUP 731) FOR;2020;51249475;;
72635;"PRINTING TYPE, BLOCKS, PLATES, CYLINDERS AND OTHER PRINTING COMPONENTS; BLOCKS, PLATES, CYLINDERS AN";2020;48068120;;
72651;MACHINERY AND TRANSPORT EQUIPMENT MACHINERY SPECIALIZED FOR PARTICULAR INDUSTRIES PRINTING AND BOOKBINDING MACHINERY AND PARTS THEREOF OFFSET PRINTING MACHINERY REEL-FED;2020;21685851;;
72655;MACHINERY AND TRANSPORT EQUIPMENT MACHINERY SPECIALIZED FOR PARTICULAR INDUSTRIES PRINTING AND BOOKBINDING MACHINERY AND PARTS THEREOF OFFSET PRINTING MACHINERY SHEET-FED, OFFICE-TYPE (SHEET SIZE NOT EXCEEDING 22 X 36 CM);2020;4198929;;
72659;MACHINERY AND TRANSPORT EQUIPMENT MACHINERY SPECIALIZED FOR PARTICULAR INDUSTRIES PRINTING AND BOOKBINDING MACHINERY AND PARTS THEREOF OFFSET PRINTING MACHINERY OFFSET PRINTING MACHINERY, N.E.S.;2020;66238069;;
72661;LETTERPRESS PRINTING MACHINERY (EXCLUDING FLEXOGRAPHIC PRINTING);2020;6221498;;
72663;FLEXOGRAPHIC PRINTING MACHINERY;2020;52344383;;
72665;GRAVURE PRINTING MACHINERY;2020;24723406;;
72669;OTHER PRINTING MACHINERY, N.E.S;2020;154555727;;
72681;BOOKBINDING MACHINERY (INCLUDING BOOK-SEWING MACHINES);2020;10315260;;
72689;PARTS FOR BOOKBINDING MACHINERY;2020;1495656;;
72691;MACHINERY AND TRANSPORT EQUIPMENT MACHINERY SPECIALIZED FOR PARTICULAR INDUSTRIES PRINTING AND BOOKBINDING MACHINERY AND PARTS THEREOF PARTS FOR THE MACHINES OF HEADING 726.31 AND SUBGROUPS 726.5 AND 726.6 FOR THE MACHINES OF HEADING 726.31;2020;189243092;;
72699;PARTS FOR THE MACHINES OF SUBGROUPS 726.5 AND 726.6;2020;343019400;;
72711;MACHINERY USED IN THE MILLING INDUSTRY OR FOR THE WORKING OF CEREALS OR DRIED LEGUMINOUS VEGETABLES;2020;11225877;;
72719;PARTS FOR THE MACHINES OF HEADINGS 721.27 AND 727.11;2020;14303552;;
72721;MACHINERY FOR THE EXTRACTION OR PREPARATION OF ANIMAL OR FIXED VEGETABLE FATS AND OILS;2020;34119859;;
72722;MACHINERY, N.E.S., FOR THE INDUSTRIAL PREPARATION OR MANUFACTURE OF FOOD OR DRINK;2020;454341015;;
72729;PARTS FOR THE FOOD-PROCESSING MACHINERY OF HEADING 727.22;2020;65685869;;
72811;MACHINE TOOLS FOR WORKING STONE, CERAMICS, CONCRETE, ASBESTOS-CEMENT OR LIKE MINERAL MATERIALS OR FO;2020;170990564;;
72812;MACHINE TOOLS (INCLUDING MACHINES FOR NAILING, STAPLING, GLUING OR OTHERWISE ASSEMBLING) FOR WORKING;2020;351516858;;
72819;PARTS AND ACCESSORIES SUITABLE FOR USE SOLELY OR PRINCIPALLY WITH THE MACHINE TOOLS OF SUBGROUP 728.;2020;157496249;;
72821;MACHINES AND APPARATUS FOR THE MANUFACTURE OF BOULES AND WAFERS, SEMICONDUCTOR DEVICES, OR OF ELECTRONIC INTEGRATED CIRCUITS AND FLAT PANEL DISPLAYS;2020;992278824;;
72822;MACHINE AND APPARATUS SOLELY OR PRINCIPALLY OF A KIND USED FOR THE MANUFACTURE OR REPAIR OF MASKS AND RETICLES;2020;1127084602;;
72829;PART AND ACCESSORIES;2020;1981695750;;
72831;MACHINERY FOR SORTING, SCREENING, SEPARATING OR WASHING EARTH, STONE, ORES OR OTHER MINERAL SUBSTANC;2020;94788688;;
72832;MACHINERY FOR CRUSHING OR GRINDING EARTH, STONE, ORES OR OTHER MINERAL SUBSTANCES IN SOLID (INCLUDIN;2020;85339473;;
72833;MACHINERY FOR MIXING OR KNEADING EARTH, STONE, ORES OR OTHER MINERAL SUBSTANCES IN SOLID (INCLUDING;2020;61088466;;
72834;MACHINERY FOR AGGLOMERATING, SHAPING OR MOULDING SOLID MINERAL FUELS, CERAMIC PASTE, UNHARDENED CEME;2020;108726337;;
72839;PARTS OF THE MACHINERY OF SUBGROUP 728.3;2020;197246644;;
72841;MACHINES FOR ASSEMBLING ELECTRIC OR ELECTRONIC LAMPS, TUBES OR VALVES OR FLASH BULBS, IN GLASS ENVEL;2020;62618256;;
72842;MACHINERY FOR WORKING RUBBER OR PLASTICS OR FOR THE MANUFACTURE OF PRODUCTS FROM THESE MATERIALS, N.;2020;956807723;;
72843;MACHINERY FOR PREPARING OR MAKING UP TOBACCO, N.E.S.;2020;3147726;;
72844;PRESSES FOR THE MANUFACTURE OF PARTICLE BOARD OR FIBRE BUILDING BOARD OF WOOD OR OTHER LIGNEOUS MATE;2020;16984804;;
72846;MACHINERY FOR TREATING METAL (INCLUDING ELECTRIC WIRE COIL-WINDERS), N.E.S.;2020;1352761468;;
72847;MACHINERY AND APPARATUS FOR ISOTOPIC SEPARATION, AND PARTS THEREOF, N.E.S.;2020;6751042;;
72849;MACHINERY HAVING INDIVIDUAL FUNCTIONS, N.E.S.;2020;1436526421;;
72851;PARTS FOR THE MACHINES OF HEADING 728.41;2020;139459643;;
72852;PARTS FOR THE MACHINES OF HEADING 728.42;2020;347364350;;
72853;PARTS FOR THE MACHINES OF HEADING 728.43;2020;45239821;;
72855;PARTS, N.E.S., FOR THE MACHINES OF HEADINGS 723.48, 727.21, 728.44, 728.46 AND 728.49;2020;2439169007;;
73111;MACHINERY AND TRANSPORT EQUIPMENT METALWORKING MACHINERY MACHINE TOOLS WORKING BY REMOVING METAL OR OTHER MATERIAL MACHINE TOOLS FOR WORKING ANY MATERIAL BY REMOVAL OF MATERIAL, BY LASER OR OTHER LIGHT OR PHOTON BEAM, ULTRASONIC, ELECTRO-DISCHARGE, ELECTR;2020;221018252;;
73112;MACHINERY AND TRANSPORT EQUIPMENT METALWORKING MACHINERY MACHINE TOOLS WORKING BY REMOVING METAL OR OTHER MATERIAL OPERATED BY ULTRASONIC PROCESSES;2020;5985005;;
73113;MACHINERY AND TRANSPORT EQUIPMENT METALWORKING MACHINERY MACHINE TOOLS WORKING BY REMOVING METAL OR OTHER MATERIAL MACHINE TOOLS FOR WORKING ANY MATERIAL BY REMOVAL OF MATERIAL, BY LASER OR OTHER LIGHT OR PHOTON BEAM, ULTRASONIC, ELECTRO-DISCHARGE, ELECTR;2020;44331516;;
73114;MACHINERY AND TRANSPORT EQUIPMENT METALWORKING MACHINERY MACHINE TOOLS WORKING BY REMOVING METAL OR OTHER MATERIAL MACHINE TOOLS FOR WORKING ANY MATERIAL BY REMOVAL OF MATERIAL, BY LASER OR OTHER LIGHT OR PHOTON BEAM, ULTRASONIC, ELECTRO-DISCHARGE, ELECTR;2020;33905938;;
73121;MACHINING CENTRES;2020;278963238;;
73122;UNIT CONSTRUCTION MACHINES (SINGLE STATION);2020;7388634;;
73123;MULTI-STATION TRANSFER MACHINES;2020;24107786;;
73131;HORIZONTAL LATHES, NUMERICALLY CONTROLLED;2020;67837678;;
73135;OTHER LATHES, NUMERICALLY CONTROLLED;2020;57758922;;
73137;OTHER HORIZONTAL LATHES;2020;14912358;;
73139;LATHES, N.E.S.;2020;31840918;;
73141;WAY-TYPE UNIT HEAD MACHINES;2020;7250807;;
73142;OTHER DRILLING MACHINES, NUMERICALLY CONTROLLED;2020;12487267;;
73143;DRILLING MACHINES, N.E.S.;2020;20010607;;
73144;OTHER BORING-MILLING MACHINES, NUMERICALLY CONTROLLED;2020;923684;;
73145;BORING-MILLING MACHINES, N.E.S.;2020;3354913;;
73146;OTHER BORING MACHINES;2020;8535611;;
73151;MILLING MACHINES, KNEE-TYPE, NUMERICALLY CONTROLLED;2020;3613833;;
73152;OTHER KNEE-TYPE MILLING MACHINES;2020;2120686;;
73153;OTHER MILLING MACHINES, NUMERICALLY CONTROLLED;2020;31513019;;
73154;MILLING MACHINES, N.E.S.;2020;36601025;;
73157;OTHER THREADING OR TAPPING MACHINES;2020;31168718;;
73161;FLAT-SURFACE GRINDING MACHINES, NUMERICALLY CONTROLLED, IN WHICH THE POSITIONING IN ANY ONE AXIS CAN BE SET UP TO AN ACCURACY OF AT LEAST 0.01 MM.;2020;8093826;;
73162;NON-NUMERICALLY CONTROLLED FLAT-SURFACE GRINDING MACHINES, IN WHICH THE POSITIONING IN ANY ONE AXIS CAN BE SET UP TO AN ACCURACY OF AT LEAST 0.01 MM;2020;22668848;;
73163;OTHER GRINDING MACHINES, NUMERICALLY CONTROLLED, IN WHICH THE POSITIONING IN ANY ONE AXIS CAN BE SET UP TO AN ACCURACY OF AT LEAST 0.01 MM;2020;7275533;;
73164;GRINDING MACHINES, N.E.S., IN WHICH THE POSITIONING IN ANY ONE AXIS CAN BE SET UP TO AN ACCURACY OF AT LEAST 0.01 MM;2020;6959189;;
